mom,id,AP,n_loci
nat01,3040,44.44444444444444,9
nat01,3042,38.888888888888886,9
nat01,3057,44.44444444444444,9
nat01,3058,50,8
nat01,3059,44.44444444444444,9
nat01,3060,50,8
nat01,3061,44.44444444444444,9
nat01,3043,44.44444444444444,9
nat01,3045,56.25,8
nat01,3047,38.888888888888886,9
nat01,3050,38.888888888888886,9
nat01,3051,44.44444444444444,9
nat01,3052,43.75,8
nat01,3054,44.44444444444444,9
nat01,3056,38.888888888888886,9
nat02,5202,50,9
nat02,5203,44.44444444444444,9
nat02,5204,50,9
nat02,5205,38.888888888888886,9
nat02,5206,38.888888888888886,9
nat02,5196,38.888888888888886,9
nat02,5197,43.75,8
nat02,5198A,38.888888888888886,9
nat02,5198B,44.44444444444444,9
nat02,5199,44.44444444444444,9
nat02,5200,50,8
nat02,5201,43.75,8
nat02,5208,44.44444444444444,9
nat02,5209,50,9
nat02,5207,38.888888888888886,9
nat03,3425,56.25,8
nat03,3424A,50,9
nat03,3424B,38.888888888888886,9
nat03,3430,38.888888888888886,9
nat03,3426,50,8
nat03,3427,44.44444444444444,9
nat03,3429,43.75,8
nat03,3435,44.44444444444444,9
nat03,3436,43.75,8
nat03,3437,55.55555555555556,9
nat03,3438,43.75,8
nat03,3423B,38.888888888888886,9
nat03,3432,44.44444444444444,9
nat03,3433,44.44444444444444,9
nat03,3434,44.44444444444444,9
nat03,3421,38.888888888888886,9
nat03,3422,44.44444444444444,9
nat03,3423A,44.44444444444444,9
nat04,3865,56.25,8
nat04,3870,44.44444444444444,9
nat04,3866,55.55555555555556,9
nat04,3867,44.44444444444444,9
nat04,3869,38.888888888888886,9
nat04,3871,33.333333333333336,9
nat05,3850,38.888888888888886,9
nat05,3842,44.44444444444444,9
nat05,3844,44.44444444444444,9
nat05,3847,44.44444444444444,9
nat05,3848,33.333333333333336,9
nat05,3845,44.44444444444444,9
nat06,3791,50,8
nat06,3793,50,9
nat06,3796,50,9
nat06,3797,58.333333333333336,6
nat06,3794,62.5,8
nat06,3795,50,8
nat06,3798,44.44444444444444,9
nat06,3800,50,8
nat07,4231,44.44444444444444,9
nat07,4240,56.25,8
nat07,4230,61.111111111111114,9
nat07,4235,50,8
nat07,4236,56.25,8
nat08,3828,50,8
nat08,3829,44.44444444444444,9
nat08,3831,50,9
nat08,3832,50,9
nat08,3833,44.44444444444444,9
nat08,3816,44.44444444444444,9
nat08,3819,55.55555555555556,9
nat08,3820,44.44444444444444,9
nat08,3823A,38.888888888888886,9
nat08,3823B,62.5,8
