mom,AP,n_loci
nat01,44.44444444444444,9
nat02,44.44444444444444,9
nat03,50,9
nat04,50,8
nat05,50,9
nat06,44.44444444444444,9
nat07,44.44444444444444,9
nat08,61.111111111111114,9
nat09,50,9
nat10,44.44444444444444,9
nat11,50,9
nat12,44.44444444444444,9
nat13,44.44444444444444,9
nat14,55.55555555555556,9
nat15,44.44444444444444,9
nat16,44.44444444444444,9
nat17,50,9
urb01,44.44444444444444,9
urb03,61.111111111111114,9
urb04,50,9
urb05,38.888888888888886,9
urb06,88.88888888888889,9
urb07,83.33333333333333,9
urb08,33.333333333333336,9
urb09,88.88888888888889,9
urb11,44.44444444444444,9
urb12,44.44444444444444,9
nat19,44.44444444444444,9
nat20,44.44444444444444,9
nat21,50,9
urb13,38.888888888888886,9
nat22,44.44444444444444,9
urb14,50,9
nat23,44.44444444444444,9
nat25,43.75,8
nat26,50,8
nat27,44.44444444444444,9
nat29,44.44444444444444,9
urb15,50,9
urb16,50,9
urb17,50,9
urb18,61.111111111111114,9
urb19,44.44444444444444,9
urb20,50,8
urb21,44.44444444444444,9
urb22,55.55555555555556,9
urb23,44.44444444444444,9
urb24,50,9
urb25,33.333333333333336,9
urb26,55.55555555555556,9
urb27,44.44444444444444,9
urb28,38.888888888888886,9
urb29,43.75,8
urb31,50,9
urb32,50,9
urb33,50,9
urb34,50,9
urb35,44.44444444444444,9
