mom,id,origin,phenotype,value
urb01,10,cultivar,SB,0
urb01,10,cultivar,AGB,0
urb01,85,cultivar,LB,0.1028
urb01,85,cultivar,SB,0.2922
urb01,85,cultivar,AGB,0.395
urb01,85,cultivar,BGB,0.2552
urb01,184,cultivar,LB,0.7374
urb01,184,cultivar,SB,0.6232
urb01,184,cultivar,AGB,1.3606
urb01,184,cultivar,BGB,0.1397
urb01,200,cultivar,LB,0.395
urb01,200,cultivar,SB,0.3764
urb01,200,cultivar,AGB,0.7714
urb01,200,cultivar,BGB,0.4268
urb01,203,cultivar,LB,0.656
urb01,203,cultivar,SB,0
urb01,203,cultivar,AGB,0.656
urb01,203,cultivar,BGB,0.4371
urb01,242,cultivar,LB,0.5134
urb01,242,cultivar,SB,0.469
urb01,242,cultivar,AGB,0.9824
urb01,242,cultivar,BGB,0.591
urb01,253,cultivar,LB,0.208
urb01,253,cultivar,SB,0.365
urb01,253,cultivar,AGB,0.573
urb01,253,cultivar,BGB,0.288
urb01,314,cultivar,LB,0.446
urb01,314,cultivar,SB,0.4678
urb01,314,cultivar,AGB,0.9138
urb01,314,cultivar,BGB,0.4967
urb01,339,cultivar,LB,0.4654
urb01,339,cultivar,SB,0.4068
urb01,339,cultivar,AGB,0.8722
urb01,339,cultivar,BGB,0.3962
urb01,359,cultivar,SB,0
urb01,359,cultivar,AGB,0
urb01,450,cultivar,LB,0.7813
urb01,450,cultivar,SB,0.6087
urb01,450,cultivar,AGB,1.39
urb01,450,cultivar,BGB,0.4226
urb01,476,cultivar,LB,0.8673
urb01,476,cultivar,SB,0.7297
urb01,476,cultivar,AGB,1.597
urb01,476,cultivar,BGB,0.8209
urb01,584,cultivar,SB,0
urb01,584,cultivar,AGB,0
urb01,599,cultivar,LB,0.3562
urb01,599,cultivar,SB,0.2405
urb01,599,cultivar,AGB,0.5967
urb01,599,cultivar,BGB,0.2447
urb01,619,cultivar,SB,0
urb01,619,cultivar,AGB,0
urb01,634,cultivar,LB,1.0738
urb01,634,cultivar,SB,0.9416
urb01,634,cultivar,AGB,2.0154
urb01,634,cultivar,BGB,1.0805
urb18,221,cultivar,SB,0
urb18,221,cultivar,AGB,0
urb18,222,cultivar,SB,0
urb18,222,cultivar,AGB,0
urb18,252,cultivar,SB,0
urb18,252,cultivar,AGB,0
urb18,330,cultivar,LB,0.573
urb18,330,cultivar,SB,0.5044
urb18,330,cultivar,AGB,1.0774
