mom,id,origin,cold_stratification,germination,days,cold_days,bilocular
nat18,326,native,,2018-04-09,27,,0
nat18,480,native,2017-12-10,2018-04-29,7,140,0
nat18,632,native,2017-12-10,2018-04-19,17,130,0
nat19,100,native,2017-12-10,2018-04-23,13,134,0
nat19,183,native,,2018-04-15,21,,0
nat19,185,native,,2018-04-15,21,,0
nat19,190,native,,2018-04-05,31,,0
nat19,202,native,2017-12-04,2018-04-28,8,145,0
nat19,22,native,,2018-04-09,27,,0
nat19,223,native,2017-12-04,2018-03-22,44,108,0
nat19,224,native,,2018-04-28,8,,0
nat19,241,native,2017-12-04,2018-04-23,13,140,0
nat19,270,native,,2018-04-03,33,,0
nat19,275,native,,2018-04-15,21,,0
nat19,296,native,,2018-04-07,29,,0
nat19,33,native,2017-12-04,2018-04-15,21,132,0
nat19,355,native,2017-12-04,2018-04-13,23,130,0
nat19,364,native,,2018-04-05,31,,0
nat19,375,native,,2018-03-25,41,,0
nat19,397,native,,2018-04-28,8,,1
nat19,398,native,2017-12-04,2018-04-17,19,134,0
nat19,40,native,2017-12-10,2018-04-19,17,130,0
nat19,430,native,2017-12-05,2018-04-17,19,133,0
nat19,46,native,2017-12-07,2018-04-09,27,123,1
nat19,468,native,,2018-04-15,21,,1
nat19,482,native,2017-12-04,2018-04-15,21,132,0
nat19,513,native,,2018-03-16,50,,0
nat19,538,native,2017-12-10,2018-04-21,15,132,0
nat19,557,native,2017-12-10,2018-04-23,13,134,0
nat19,571,native,,2018-04-15,21,,1
nat19,596,native,,2018-04-15,21,,0
nat19,606,native,,2018-04-07,29,,0
nat19,611,native,,2018-04-05,31,,0
nat19,616,native,,2018-04-03,33,,0
nat19,626,native,2017-12-04,2018-04-23,13,140,0
nat19,627,native,2017-12-04,2018-04-29,7,146,0
nat19,631,native,2017-12-10,2018-04-17,19,128,0
nat19,642,native,,2018-04-21,15,,0
nat19,65,native,2017-12-04,2018-04-28,8,145,1
nat19,657,native,2017-12-04,2018-03-04,62,90,0
nat19,659,native,,2018-04-07,29,,0
nat19,74,native,,2018-04-11,25,,0
nat19,76,native,,2018-04-11,25,,0
nat19,94,native,,2018-04-09,27,,0
nat20,301,native,2017-12-06,2018-04-29,7,144,0
nat20,440,native,2017-12-06,2018-04-28,8,143,0
nat20,446,native,2017-12-06,2018-04-21,15,136,0
nat20,473,native,2017-12-06,2018-04-17,19,132,0
nat20,519,native,2017-12-06,2018-04-15,21,130,0
nat20,605,native,,2018-04-01,35,,0
nat20,608,native,,2018-04-25,11,,0
nat20,615,native,,2018-04-05,31,,0
nat21,332,native,,2018-04-03,33,,0
nat21,333,native,2017-12-04,2018-04-17,19,134,0
nat21,358,native,,2018-04-01,35,,0
nat21,422,native,,2018-04-09,27,,1
nat21,500,native,2017-12-06,2018-04-23,13,138,0
nat21,527,native,,2018-04-09,27,,1
nat21,568,native,,2018-04-07,29,,0
nat21,573,native,,2018-04-07,29,,0
nat21,589,native,2017-12-06,2018-04-23,13,138,0
nat21,68,native,,2018-04-13,23,,0
nat22,101,native,,2018-03-25,41,,0
nat22,119,native,2017-12-06,2018-04-17,19,132,0
nat22,142,native,,2018-03-22,44,,0
nat22,176,native,2017-12-10,2018-04-15,21,126,0
nat22,191,native,2017-12-06,2018-04-19,17,134,0
nat22,199,native,2017-12-04,2018-04-17,19,134,0
nat22,25,native,2017-12-06,2018-04-05,31,120,0
nat22,254,native,,2018-04-09,27,,0
nat22,353,native,2017-12-06,2018-04-14,22,129,0
nat22,505,native,,2018-04-15,21,,0
nat22,535,native,,2018-03-25,41,,0
nat22,6,native,2017-12-06,2018-04-28,8,143,0
nat22,609,native,,2018-04-05,31,,0
nat22,638,native,,2018-04-09,27,,0
nat23,2,native,2017-12-06,2018-04-13,23,128,0
nat23,216,native,2017-12-06,2018-04-19,17,134,1
nat23,244,native,2017-12-06,2018-04-19,17,134,0
nat23,259,native,,2018-04-11,25,,0
nat23,309,native,,2018-04-09,27,,0
nat23,334,native,2017-12-06,2018-05-01,5,146,0
nat23,380,native,,2018-04-01,35,,0
