mom,origin,mean_seed_weight,n_seeds
nat19,native,97.95,37
nat20,native,53.78,16
nat22,native,62.74,14
nat23,native,57.64,15
nat24,native,58.73,20
nat26,native,58.45,26
nat27,native,73.03,29
nat33,native,81.4,3
urb01,cultivar,137.0,9
urb03,cultivar,119.81,10
urb04,cultivar,121.42,10
urb07,cultivar,134.3,10
urb09,cultivar,97.89,10
urb11,cultivar,183.03,15
urb12,cultivar,154.22,10
urb13,cultivar,188.71,14
urb14,cultivar,121.3,10
urb17,cultivar,146.63,10
urb18,cultivar,130.71,10
urb23,cultivar,158.82,20
urb24,cultivar,130.8,10
urb25,cultivar,98.04,10
urb26,cultivar,116.28,10
urb28,cultivar,139.65,15
urb29,cultivar,109.85,40
urb31,cultivar,110.0,60
urb32,cultivar,123.51,10
